['0', 'acc', '+', '28']
['1', 'jmp', '+', '481']
['482', 'acc', '+', '32']
['483', 'nop', '-', '403']
['484', 'acc', '+', '7']
['485', 'acc', '-', '3']
['486', 'jmp', '-', '345']
['141', 'nop', '+', '441']
['142', 'jmp', '+', '304']
['446', 'acc', '-', '2']
['447', 'acc', '+', '34']
['448', 'acc', '-', '17']
['449', 'jmp', '-', '443']
['6', 'jmp', '+', '250']
['256', 'jmp', '-', '34']
['222', 'jmp', '-', '164']
['58', 'acc', '-', '19']
['59', 'acc', '+', '13']
['60', 'acc', '+', '37']
['61', 'acc', '-', '6']
['62', 'jmp', '+', '240']
['302', 'jmp', '+', '303']
['605', 'jmp', '-', '279']
['326', 'acc', '+', '20']
['327', 'jmp', '+', '134']
['461', 'acc', '-', '16']
['462', 'jmp', '-', '270']
['192', 'nop', '+', '319']
['193', 'acc', '+', '35']
['194', 'jmp', '+', '194']
['388', 'jmp', '+', '186']
['574', 'acc', '-', '9']
['575', 'nop', '-', '187']
['576', 'acc', '+', '41']
['577', 'jmp', '-', '444']
['133', 'acc', '+', '29']
['134', 'acc', '+', '23']
['135', 'nop', '+', '241']
['136', 'acc', '+', '34']
['137', 'jmp', '+', '168']
['305', 'acc', '-', '2']
['306', 'acc', '+', '13']
['307', 'acc', '-', '1']
['308', 'acc', '+', '43']
['309', 'jmp', '+', '244']
['553', 'jmp', '-', '231']
['322', 'nop', '+', '20']
['323', 'jmp', '+', '53']
['376', 'acc', '+', '0']
['377', 'jmp', '-', '253']
['124', 'acc', '-', '1']
['125', 'jmp', '+', '346']
['471', 'acc', '+', '0']
['472', 'acc', '+', '33']
['473', 'acc', '-', '8']
['474', 'acc', '+', '8']
['475', 'jmp', '+', '166']
['641', 'acc', '-', '2']
['642', 'acc', '-', '3']
['643', 'jmp', '-', '75']
['568', 'jmp', '-', '169']
['399', 'nop', '-', '258']
['400', 'acc', '+', '3']
['401', 'acc', '+', '40']
['402', 'jmp', '-', '142']
['260', 'acc', '+', '45']
['261', 'jmp', '+', '119']
['380', 'nop', '-', '326']
['381', 'nop', '-', '106']
['382', 'jmp', '+', '73']
['455', 'acc', '+', '42']
['456', 'nop', '-', '185']
['457', 'acc', '+', '34']
['458', 'acc', '-', '5']
['459', 'jmp', '-', '275']
['184', 'acc', '-', '18']
['185', 'acc', '+', '35']
['186', 'acc', '+', '46']
['187', 'acc', '+', '1']
['188', 'jmp', '+', '51']
['239', 'acc', '+', '19']
['240', 'jmp', '+', '271']
['511', 'acc', '+', '29']
['512', 'acc', '+', '0']
['513', 'jmp', '-', '11']
['502', 'acc', '+', '11']
['503', 'nop', '-', '457']
['504', 'acc', '+', '50']
['505', 'nop', '+', '121']
['506', 'jmp', '-', '231']
['275', 'acc', '+', '23']
['276', 'nop', '-', '64']
['277', 'acc', '+', '36']
['278', 'acc', '+', '47']
['279', 'jmp', '+', '318']
['597', 'acc', '+', '45']
['598', 'acc', '-', '16']
['599', 'acc', '-', '15']
['600', 'jmp', '-', '532']
['68', 'acc', '+', '26']
['69', 'jmp', '+', '363']
['432', 'acc', '-', '19']
['433', 'acc', '+', '43']
['434', 'acc', '-', '6']
['435', 'acc', '+', '11']
['436', 'jmp', '-', '106']
['330', 'acc', '-', '15']
['331', 'jmp', '-', '37']
['294', 'nop', '+', '67']
['295', 'acc', '+', '9']
['296', 'acc', '+', '47']
['297', 'jmp', '-', '276']
['21', 'acc', '-', '3']
['22', 'acc', '+', '5']
['23', 'jmp', '+', '143']
['166', 'nop', '-', '86']
['167', 'jmp', '+', '97']
['264', 'acc', '+', '8']
['265', 'jmp', '-', '15']
['250', 'acc', '-', '12']
['251', 'acc', '+', '45']
['252', 'nop', '-', '145']
['253', 'jmp', '+', '116']
['369', 'acc', '+', '1']
['370', 'acc', '+', '30']
['371', 'nop', '+', '226']
['372', 'acc', '+', '20']
['373', 'jmp', '-', '339']
['34', 'acc', '+', '0']
['35', 'acc', '-', '10']
['36', 'acc', '+', '20']
['37', 'nop', '+', '516']
['38', 'jmp', '+', '544']
['582', 'acc', '+', '23']
['583', 'acc', '+', '28']
['584', 'acc', '+', '35']
['585', 'jmp', '-', '94']
['491', 'acc', '+', '9']
['492', 'acc', '+', '3']
['493', 'nop', '-', '32']
['494', 'acc', '+', '25']
['495', 'jmp', '-', '177']
['318', 'acc', '-', '12']
['319', 'jmp', '-', '159']
['160', 'nop', '+', '128']
['161', 'jmp', '+', '305']
['466', 'acc', '-', '7']
['467', 'jmp', '-', '76']
['391', 'nop', '+', '111']
['392', 'acc', '-', '7']
['393', 'acc', '+', '46']
['394', 'jmp', '-', '345']
['49', 'acc', '+', '30']
['50', 'jmp', '-', '38']
['12', 'acc', '+', '43']
['13', 'acc', '+', '34']
['14', 'acc', '-', '5']
['15', 'jmp', '+', '602']
['617', 'acc', '+', '14']
['618', 'acc', '+', '27']
['619', 'nop', '-', '66']
['620', 'nop', '-', '278']
['621', 'jmp', '-', '548']
['73', 'acc', '-', '15']
['74', 'acc', '-', '6']
['75', 'jmp', '+', '1']
['76', 'jmp', '+', '259']
['335', 'nop', '-', '22']
['336', 'acc', '-', '3']
['337', 'jmp', '-', '210']
['127', 'acc', '+', '17']
['128', 'acc', '+', '21']
['129', 'nop', '+', '482']
['130', 'jmp', '-', '90']
['40', 'nop', '+', '59']
['41', 'nop', '+', '247']
['42', 'acc', '-', '1']
['43', 'jmp', '+', '589']
['632', 'nop', '-', '517']
['633', 'acc', '+', '38']
['634', 'acc', '+', '12']
['635', 'nop', '-', '511']
['636', 'jmp', '-', '354']
['282', 'acc', '+', '37']
['283', 'acc', '-', '13']
['284', 'acc', '-', '6']
['285', 'nop', '-', '29']
['286', 'jmp', '-', '179']
['107', 'acc', '+', '27']
['108', 'acc', '+', '33']
['109', 'acc', '-', '18']
['110', 'acc', '+', '21']
['111', 'jmp', '+', '448']
['559', 'acc', '+', '26']
['560', 'acc', '+', '45']
['561', 'acc', '+', '33']
['562', 'acc', '+', '37']
['563', 'jmp', '-', '410']
['153', 'acc', '+', '35']
['154', 'acc', '+', '47']
['155', 'jmp', '+', '297']
['452', 'jmp', '-', '181']
['271', 'jmp', '-', '182']
['89', 'acc', '+', '29']
['90', 'acc', '+', '7']
['91', 'nop', '+', '270']
['92', 'acc', '+', '6']
['93', 'jmp', '+', '445']
['538', 'acc', '+', '2']
['539', 'acc', '+', '43']
['540', 'acc', '+', '19']
['541', 'acc', '-', '2']
['542', 'jmp', '-', '443']
['99', 'acc', '-', '16']
['100', 'acc', '+', '50']
['101', 'acc', '+', '30']
['102', 'jmp', '+', '344']
